asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 02:18:03.858,UAVFrameProducer,None,input,1,-1,-1,0.0,2.0,921.74,0.0,13.87,126.19,30938
2023/06/26 02:18:03.897,UAVFrameProducer,None,input,2,-1,-1,22.67,63.09,921.74,0.0,13.85,128.51,30939
2023/06/26 02:18:03.962,UAVFrameProducer,None,input,3,-1,-1,15.44,17.99,921.74,0.0,13.88,163.42,30940
2023/06/26 02:18:04.037,UAVFrameProducer,None,input,4,-1,-1,0.0,4.0,921.74,0.0,13.78,154.26,30941
2023/06/26 02:18:04.094,UAVFrameProducer,None,input,5,-1,-1,0.0,3.0,921.74,0.0,13.85,164.75,30942
2023/06/26 02:18:04.133,UAVFrameProducer,None,input,6,-1,-1,0.0,10.99,921.74,0.0,13.92,141.89,30943
2023/06/26 02:18:04.210,UAVFrameProducer,None,input,7,-1,-1,0.0,6.67,921.74,0.0,13.89,155.38,30944
2023/06/26 02:18:04.274,UAVFrameProducer,None,input,8,-1,-1,0.0,6.0,921.74,0.0,13.91,161.5,30945
2023/06/26 02:18:04.331,UAVFrameProducer,None,input,9,-1,-1,0.0,5.31,921.74,0.0,13.92,167.61,30946
2023/06/26 02:18:04.369,UAVFrameProducer,None,input,10,-1,-1,0.88,4.31,921.74,0.0,13.98,137.07,30947
2023/06/26 02:18:04.424,UAVFrameProducer,None,input,11,-1,-1,0.0,4.0,921.74,0.0,14.01,129.58,30948
2023/06/26 02:18:04.475,UAVFrameProducer,None,input,12,-1,-1,0.0,7.01,921.74,0.0,11.58,117.68,30949
2023/06/26 02:18:04.527,UAVFrameProducer,None,input,13,-1,-1,0.0,3.05,921.74,0.0,12.99,124.08,30950
2023/06/26 02:18:04.596,UAVFrameProducer,None,input,14,-1,-1,0.0,2.6,921.74,0.0,13.35,154.92,30951
2023/06/26 02:18:04.664,UAVFrameProducer,None,input,15,-1,-1,0.0,10.7,921.74,0.0,13.53,155.38,30952
2023/06/26 02:18:04.721,UAVFrameProducer,None,input,16,-1,-1,0.0,12.81,921.74,0.0,13.65,165.29,30953
2023/06/26 02:18:04.772,UAVFrameProducer,None,input,17,-1,-1,0.0,12.05,921.74,0.0,13.66,147.49,30954
2023/06/26 02:18:04.822,UAVFrameProducer,None,input,18,-1,-1,0.0,10.88,921.74,0.0,13.72,135.75,30955
2023/06/26 02:18:04.869,UAVFrameProducer,None,input,19,-1,-1,0.0,7.48,921.74,0.0,13.81,129.18,30956
2023/06/26 02:18:04.926,UAVFrameProducer,None,input,20,-1,-1,0.0,4.42,921.74,0.0,13.87,136.01,30957
2023/06/26 02:18:04.988,UAVFrameProducer,None,input,21,-1,-1,0.0,5.88,921.74,0.0,13.85,147.79,30958
2023/06/26 02:18:05.041,UAVFrameProducer,None,input,22,-1,-1,0.23,2.08,921.74,0.0,13.88,135.84,30959
2023/06/26 02:18:05.106,UAVFrameProducer,None,input,23,-1,-1,0.0,10.58,921.74,0.0,13.88,137.38,30960
2023/06/26 02:18:05.163,UAVFrameProducer,None,input,24,-1,-1,0.0,3.75,921.74,0.0,13.98,153.59,30961
2023/06/26 02:18:05.199,UAVFrameProducer,None,input,25,-1,-1,1.0,8.85,921.74,0.0,13.92,131.96,30962
2023/06/26 02:18:05.262,UAVFrameProducer,None,input,26,-1,-1,0.0,6.83,921.74,0.0,13.92,132.05,30963
2023/06/26 02:18:05.347,UAVFrameProducer,None,input,27,-1,-1,0.0,9.45,921.74,0.0,13.87,158.21,30964
2023/06/26 02:18:05.424,UAVFrameProducer,None,input,28,-1,-1,0.0,3.51,921.74,0.0,13.91,205.16,30965
2023/06/26 02:18:05.457,UAVFrameProducer,None,input,29,-1,-1,0.0,13.32,921.74,0.0,13.85,168.72,30966
2023/06/26 02:18:05.505,UAVFrameProducer,None,input,30,-1,-1,0.0,7.0,921.74,0.0,12.56,136.73,30967
2023/06/26 02:18:05.570,UAVFrameProducer,None,input,31,-1,-1,0.0,9.9,921.74,0.0,13.23,131.22,30968
2023/06/26 02:18:05.621,UAVFrameProducer,None,input,32,-1,-1,0.0,4.85,921.74,0.0,13.55,146.3,30969
2023/06/26 02:18:05.670,UAVFrameProducer,None,input,33,-1,-1,0.0,4.47,921.74,0.0,13.59,148.29,30970
2023/06/26 02:18:05.728,UAVFrameProducer,None,input,34,-1,-1,0.0,4.59,921.74,0.0,13.76,138.66,30971
2023/06/26 02:18:05.796,UAVFrameProducer,None,input,35,-1,-1,0.0,5.45,921.74,0.0,13.86,156.01,30972
2023/06/26 02:18:05.866,UAVFrameProducer,None,input,36,-1,-1,0.0,1.88,921.74,0.0,13.82,169.97,30973
2023/06/26 02:18:05.923,UAVFrameProducer,None,input,37,-1,-1,0.0,10.2,921.74,0.0,13.85,156.44,30974
2023/06/26 02:18:05.978,UAVFrameProducer,None,input,38,-1,-1,0.0,13.06,921.74,0.0,13.81,155.66,30975
2023/06/26 02:18:06.035,UAVFrameProducer,None,input,39,-1,-1,0.0,9.9,921.74,0.0,13.89,144.3,30976
2023/06/26 02:18:06.098,UAVFrameProducer,None,input,40,-1,-1,0.0,5.93,921.74,0.0,13.91,156.65,30977
2023/06/26 02:18:06.160,UAVFrameProducer,None,input,41,-1,-1,0.0,10.41,921.74,0.0,13.86,154.26,30979
2023/06/26 02:18:06.233,UAVFrameProducer,None,input,42,-1,-1,0.0,4.8,921.74,0.0,13.96,173.57,30980
2023/06/26 02:18:06.303,UAVFrameProducer,None,input,43,-1,-1,0.0,10.8,921.74,0.0,13.99,177.38,30982
2023/06/26 02:18:06.361,UAVFrameProducer,None,input,44,-1,-1,0.0,9.91,921.74,0.0,13.99,171.35,30984
2023/06/26 02:18:06.420,UAVFrameProducer,None,input,45,-1,-1,0.0,15.51,921.74,0.0,14.02,162.05,30986
2023/06/26 02:18:06.477,UAVFrameProducer,None,input,46,-1,-1,0.0,12.02,921.74,0.0,14.02,146.67,30988
2023/06/26 02:18:06.521,UAVFrameProducer,None,input,47,-1,-1,0.0,11.9,921.74,0.0,12.14,134.94,30990
2023/06/26 02:18:06.576,UAVFrameProducer,None,input,48,-1,-1,0.0,16.55,921.74,0.0,13.25,136.5,30992
2023/06/26 02:18:06.621,UAVFrameProducer,None,input,49,-1,-1,0.0,8.27,921.74,0.0,13.54,127.59,30995
2023/06/26 02:18:06.672,UAVFrameProducer,None,input,50,-1,-1,0.0,13.68,921.74,0.0,13.58,130.12,30997
2023/06/26 02:18:06.704,UAVFrameProducer,None,input,51,-1,-1,0.0,7.9,921.74,0.0,13.78,112.43,30999
2023/06/26 02:18:06.752,UAVFrameProducer,None,input,52,-1,-1,0.0,3.67,921.74,0.0,13.78,113.12,31001
2023/06/26 02:18:06.807,UAVFrameProducer,None,input,53,-1,-1,0.0,4.48,921.74,0.0,13.86,115.76,31004
2023/06/26 02:18:06.861,UAVFrameProducer,None,input,54,-1,-1,0.0,3.27,921.74,0.0,13.84,124.23,31006
2023/06/26 02:18:06.895,UAVFrameProducer,None,input,55,-1,-1,0.0,3.72,921.74,0.0,13.85,107.05,31009
2023/06/26 02:18:06.956,UAVFrameProducer,None,input,56,-1,-1,0.0,9.96,921.74,0.0,13.93,132.6,31010
2023/06/26 02:18:06.988,UAVFrameProducer,None,input,57,-1,-1,0.0,4.6,921.74,0.0,13.95,110.65,31012
2023/06/26 02:18:07.034,UAVFrameProducer,None,input,58,-1,-1,0.0,2.89,921.74,0.0,13.9,127.3,31014
2023/06/26 02:18:07.062,UAVFrameProducer,None,input,59,-1,-1,0.0,7.45,921.74,0.0,13.96,88.53,31016
2023/06/26 02:18:07.134,UAVFrameProducer,None,input,60,-1,-1,0.0,7.2,921.74,0.0,13.82,127.09,31018
2023/06/26 02:18:07.193,UAVFrameProducer,None,input,61,-1,-1,0.0,6.3,921.74,0.0,13.84,138.03,31022
2023/06/26 02:18:07.243,UAVFrameProducer,None,input,62,-1,-1,0.0,3.35,921.74,0.0,13.82,164.27,31024
2023/06/26 02:18:07.286,UAVFrameProducer,None,input,63,-1,-1,0.0,16.37,921.74,0.0,13.91,132.8,31026
2023/06/26 02:18:07.335,UAVFrameProducer,None,input,64,-1,-1,0.0,11.43,921.74,0.0,13.97,122.7,31028
2023/06/26 02:18:07.400,UAVFrameProducer,None,input,65,-1,-1,0.0,5.37,921.74,0.0,13.93,124.66,31031
2023/06/26 02:18:07.467,UAVFrameProducer,None,input,66,-1,-1,0.0,4.52,921.74,0.0,14.07,152.53,31034
2023/06/26 02:18:07.530,UAVFrameProducer,None,input,67,-1,-1,0.0,3.34,921.74,0.0,12.12,177.63,31037
2023/06/26 02:18:07.588,UAVFrameProducer,None,input,68,-1,-1,0.0,14.4,921.74,0.0,12.73,159.42,31039
2023/06/26 02:18:07.644,UAVFrameProducer,None,input,69,-1,-1,0.0,13.51,921.74,0.0,13.51,151.12,31041
2023/06/26 02:18:07.734,UAVFrameProducer,None,input,70,-1,-1,0.0,13.28,921.74,0.0,13.65,168.1,31044
2023/06/26 02:18:07.787,UAVFrameProducer,None,input,71,-1,-1,0.0,3.0,921.74,0.0,13.75,180.26,31047
2023/06/26 02:18:07.838,UAVFrameProducer,None,input,72,-1,-1,0.0,9.69,921.74,0.0,13.82,179.84,31050
2023/06/26 02:18:07.900,UAVFrameProducer,None,input,73,-1,-1,0.0,13.93,921.74,0.0,13.8,135.11,31052
2023/06/26 02:18:07.960,UAVFrameProducer,None,input,74,-1,-1,0.0,2.8,921.74,0.0,13.83,140.25,31055
2023/06/26 02:18:08.010,UAVFrameProducer,None,input,75,-1,-1,0.0,3.25,921.74,0.0,13.83,151.73,31058
2023/06/26 02:18:08.073,UAVFrameProducer,None,input,76,-1,-1,0.0,16.52,921.74,0.0,13.86,144.3,31060
2023/06/26 02:18:08.133,UAVFrameProducer,None,input,77,-1,-1,0.0,7.09,921.74,0.0,13.91,154.04,31063
2023/06/26 02:18:08.196,UAVFrameProducer,None,input,78,-1,-1,0.0,8.01,921.74,0.0,13.88,162.8,31066
2023/06/26 02:18:08.264,UAVFrameProducer,None,input,79,-1,-1,0.0,7.36,921.74,0.0,13.92,169.16,31069
2023/06/26 02:18:08.326,UAVFrameProducer,None,input,80,-1,-1,0.0,13.49,921.74,0.0,13.94,169.07,31071
2023/06/26 02:18:08.375,UAVFrameProducer,None,input,81,-1,-1,0.0,12.35,921.74,0.0,13.96,153.43,31074
2023/06/26 02:18:08.421,UAVFrameProducer,None,input,82,-1,-1,0.0,12.64,921.74,0.0,14.06,132.13,31076
2023/06/26 02:18:08.480,UAVFrameProducer,None,input,83,-1,-1,0.0,6.23,921.74,0.0,11.31,137.34,31078
2023/06/26 02:18:08.536,UAVFrameProducer,None,input,84,-1,-1,0.0,6.02,921.74,0.0,12.74,139.01,31081
2023/06/26 02:18:08.597,UAVFrameProducer,None,input,85,-1,-1,0.0,4.54,921.74,0.0,13.11,155.13,31084
2023/06/26 02:18:08.661,UAVFrameProducer,None,input,86,-1,-1,0.0,1.0,921.74,0.0,13.6,134.7,31087
2023/06/26 02:18:08.725,UAVFrameProducer,None,input,87,-1,-1,0.0,4.0,921.74,0.0,13.67,162.45,31091
2023/06/26 02:18:08.786,UAVFrameProducer,None,input,88,-1,-1,0.0,13.28,921.74,0.0,13.77,160.47,31094
2023/06/26 02:18:08.838,UAVFrameProducer,None,input,89,-1,-1,0.0,10.16,921.74,0.0,13.75,154.41,31097
2023/06/26 02:18:08.895,UAVFrameProducer,None,input,90,-1,-1,0.0,13.63,921.74,0.0,13.86,135.48,31100
2023/06/26 02:18:08.969,UAVFrameProducer,None,input,91,-1,-1,0.0,11.79,921.74,0.0,13.88,163.29,31103
2023/06/26 02:18:09.038,UAVFrameProducer,None,input,92,-1,-1,0.0,16.26,921.74,0.0,13.88,181.25,31106
2023/06/26 02:18:09.088,UAVFrameProducer,None,input,93,-1,-1,0.0,11.46,921.74,0.0,13.89,164.19,31108
2023/06/26 02:18:09.135,UAVFrameProducer,None,input,94,-1,-1,0.0,9.83,921.74,0.0,13.92,146.18,31110
2023/06/26 02:18:09.197,UAVFrameProducer,None,input,95,-1,-1,0.0,0.83,921.74,0.0,13.93,136.36,31112
2023/06/26 02:18:09.258,UAVFrameProducer,None,input,96,-1,-1,0.0,10.22,921.74,0.0,13.97,148.23,31114
2023/06/26 02:18:09.329,UAVFrameProducer,None,input,97,-1,-1,0.0,2.0,921.74,0.0,13.98,168.21,31117
2023/06/26 02:18:09.396,UAVFrameProducer,None,input,98,-1,-1,0.0,12.71,921.74,0.0,13.98,168.44,31120
2023/06/26 02:18:09.453,UAVFrameProducer,None,input,99,-1,-1,0.0,8.65,921.74,0.0,14.0,173.9,31123
2023/06/26 02:18:09.508,UAVFrameProducer,None,input,100,-1,-1,0.0,14.48,921.74,0.0,11.61,149.62,31126
2023/06/26 02:18:09.552,UAVFrameProducer,None,input,101,-1,-1,0.0,8.41,921.74,0.0,12.99,143.69,31129
2023/06/26 02:18:09.609,UAVFrameProducer,None,input,102,-1,-1,0.0,2.94,921.74,0.0,13.36,135.59,31132
2023/06/26 02:18:09.647,UAVFrameProducer,None,input,103,-1,-1,0.0,8.95,921.74,0.0,13.64,109.12,31134
2023/06/26 02:18:09.695,UAVFrameProducer,None,input,104,-1,-1,0.0,4.68,921.74,0.0,13.69,116.94,31137
2023/06/26 02:18:09.762,UAVFrameProducer,None,input,105,-1,-1,0.0,9.29,921.74,0.0,13.84,127.32,31139
2023/06/26 02:18:09.825,UAVFrameProducer,None,input,106,-1,-1,0.0,3.57,921.74,0.0,13.84,156.72,31142
2023/06/26 02:18:09.882,UAVFrameProducer,None,input,107,-1,-1,0.0,3.3,921.74,0.0,13.79,149.61,31144
2023/06/26 02:18:09.928,UAVFrameProducer,None,input,108,-1,-1,0.0,10.14,921.74,0.0,13.82,143.95,31148
2023/06/26 02:18:09.976,UAVFrameProducer,None,input,109,-1,-1,0.0,15.29,921.74,0.0,13.83,122.82,31150
2023/06/26 02:18:10.045,UAVFrameProducer,None,input,110,-1,-1,0.0,7.45,921.74,0.0,13.92,142.05,31153
2023/06/26 02:18:10.090,UAVFrameProducer,None,input,111,-1,-1,0.0,3.05,921.74,0.0,13.96,153.12,31156
2023/06/26 02:18:10.146,UAVFrameProducer,None,input,112,-1,-1,0.0,7.31,921.74,0.0,13.95,156.31,31158
2023/06/26 02:18:10.204,UAVFrameProducer,None,input,113,-1,-1,0.0,4.9,921.74,0.0,13.89,137.68,31161
2023/06/26 02:18:10.259,UAVFrameProducer,None,input,114,-1,-1,0.0,3.19,921.74,0.0,14.04,132.76,31163
2023/06/26 02:18:10.312,UAVFrameProducer,None,input,115,-1,-1,0.0,3.0,921.74,0.0,13.93,139.12,31166
2023/06/26 02:18:10.352,UAVFrameProducer,None,input,116,-1,-1,0.0,4.07,921.74,0.0,14.08,131.11,31169
2023/06/26 02:18:10.423,UAVFrameProducer,None,input,117,-1,-1,0.0,7.35,921.74,0.0,14.04,149.9,31172
2023/06/26 02:18:10.479,UAVFrameProducer,None,input,118,-1,-1,0.0,11.62,921.74,0.0,11.33,143.02,31174
2023/06/26 02:18:10.531,UAVFrameProducer,None,input,119,-1,-1,0.0,3.63,921.74,0.0,12.09,124.36,31177
2023/06/26 02:18:10.587,UAVFrameProducer,None,input,120,-1,-1,0.0,3.87,921.74,0.0,13.22,127.21,31179
2023/06/26 02:18:10.645,UAVFrameProducer,None,input,121,-1,-1,0.0,7.39,921.74,0.0,13.59,152.14,31182
2023/06/26 02:18:10.716,UAVFrameProducer,None,input,122,-1,-1,0.0,14.44,921.74,0.0,13.72,156.54,31184
2023/06/26 02:18:10.773,UAVFrameProducer,None,input,123,-1,-1,0.0,3.82,921.74,0.0,13.83,167.52,31187
2023/06/26 02:18:10.842,UAVFrameProducer,None,input,124,-1,-1,0.0,10.81,921.74,0.0,13.86,168.41,31190
2023/06/26 02:18:10.908,UAVFrameProducer,None,input,125,-1,-1,0.0,7.44,921.74,0.0,13.85,172.76,31194
2023/06/26 02:18:10.956,UAVFrameProducer,None,input,126,-1,-1,0.0,4.61,921.74,0.0,13.91,163.22,31197
2023/06/26 02:18:11.019,UAVFrameProducer,None,input,127,-1,-1,0.0,18.56,921.74,0.0,13.9,158.43,31200
2023/06/26 02:18:11.067,UAVFrameProducer,None,input,128,-1,-1,0.0,4.6,921.74,0.0,13.84,140.93,31202
2023/06/26 02:18:11.103,UAVFrameProducer,None,input,129,-1,-1,0.0,3.36,921.74,0.0,13.85,106.1,31205
2023/06/26 02:18:11.157,UAVFrameProducer,None,input,130,-1,-1,0.0,5.04,921.74,0.0,13.89,122.5,31207
2023/06/26 02:18:11.226,UAVFrameProducer,None,input,131,-1,-1,0.0,4.63,921.74,0.0,13.93,141.19,31210
2023/06/26 02:18:11.272,UAVFrameProducer,None,input,132,-1,-1,0.0,1.72,921.74,0.0,13.93,133.88,31212
2023/06/26 02:18:11.320,UAVFrameProducer,None,input,133,-1,-1,0.0,3.71,921.74,0.0,13.97,117.05,31214
2023/06/26 02:18:11.375,UAVFrameProducer,None,input,134,-1,-1,0.0,9.52,921.74,0.0,13.91,134.88,31217
2023/06/26 02:18:11.427,UAVFrameProducer,None,input,135,-1,-1,0.0,3.94,921.74,0.0,13.97,135.81,31219
2023/06/26 02:18:11.471,UAVFrameProducer,None,input,136,-1,-1,0.0,2.59,921.74,0.0,11.29,135.2,31222
2023/06/26 02:18:11.529,UAVFrameProducer,None,input,137,-1,-1,0.0,18.8,921.74,0.0,12.69,132.69,31224
2023/06/26 02:18:11.597,UAVFrameProducer,None,input,138,-1,-1,0.0,8.76,921.74,0.0,13.15,155.75,31227
2023/06/26 02:18:11.664,UAVFrameProducer,None,input,139,-1,-1,0.0,2.0,921.74,0.0,13.58,156.87,31229
2023/06/26 02:18:11.724,UAVFrameProducer,None,input,140,-1,-1,0.0,12.99,921.74,0.0,13.77,161.35,31232
2023/06/26 02:18:11.787,UAVFrameProducer,None,input,141,-1,-1,0.0,2.86,921.74,0.0,13.8,178.36,31235
2023/06/26 02:18:11.841,UAVFrameProducer,None,input,142,-1,-1,0.0,6.2,921.74,0.0,13.76,159.22,31237
2023/06/26 02:18:11.902,UAVFrameProducer,None,input,143,-1,-1,0.0,13.54,921.74,0.0,13.81,147.41,31240
2023/06/26 02:18:11.954,UAVFrameProducer,None,input,144,-1,-1,0.0,4.58,921.74,0.0,13.83,145.92,31242
2023/06/26 02:18:11.992,UAVFrameProducer,None,input,145,-1,-1,0.0,9.0,921.74,0.0,13.89,122.72,31245
2023/06/26 02:18:12.037,UAVFrameProducer,None,input,146,-1,-1,0.0,8.85,921.74,0.0,13.83,115.82,31248
2023/06/26 02:18:12.088,UAVFrameProducer,None,input,147,-1,-1,0.0,7.18,921.74,0.0,13.86,112.49,31249
2023/06/26 02:18:12.144,UAVFrameProducer,None,input,148,-1,-1,0.0,7.87,921.74,0.0,13.95,139.41,31253
2023/06/26 02:18:12.192,UAVFrameProducer,None,input,149,-1,-1,0.0,13.98,921.74,0.0,13.88,135.89,31256
2023/06/26 02:18:12.244,UAVFrameProducer,None,input,150,-1,-1,0.0,5.29,921.74,0.0,13.87,134.6,31258
2023/06/26 02:18:12.302,UAVFrameProducer,None,input,151,-1,-1,0.0,9.62,921.74,0.0,13.93,134.68,31260
2023/06/26 02:18:12.354,UAVFrameProducer,None,input,152,-1,-1,0.0,10.0,921.74,0.0,14.01,141.05,31263
2023/06/26 02:18:12.414,UAVFrameProducer,None,input,153,-1,-1,0.0,9.69,921.74,0.0,14.08,146.22,31265
2023/06/26 02:18:12.480,UAVFrameProducer,None,input,154,-1,-1,0.0,3.0,921.74,0.0,11.36,157.43,31268
2023/06/26 02:18:12.549,UAVFrameProducer,None,input,155,-1,-1,0.0,3.71,921.74,0.0,12.11,157.48,31271
2023/06/26 02:18:12.606,UAVFrameProducer,None,input,156,-1,-1,0.0,10.26,921.74,0.0,13.15,180.43,31273
2023/06/26 02:18:12.661,UAVFrameProducer,None,input,157,-1,-1,0.0,10.47,921.74,0.0,13.57,169.43,31276
2023/06/26 02:18:12.730,UAVFrameProducer,None,input,158,-1,-1,0.0,8.81,921.74,0.0,13.75,157.53,31279
2023/06/26 02:18:12.771,UAVFrameProducer,None,input,159,-1,-1,0.0,4.21,921.74,0.0,13.81,145.82,31283
2023/06/26 02:18:12.832,UAVFrameProducer,None,input,160,-1,-1,0.0,11.63,921.74,0.0,13.76,148.38,31285
2023/06/26 02:18:12.870,UAVFrameProducer,None,input,161,-1,-1,0.0,12.14,921.74,0.0,13.84,113.81,31287
2023/06/26 02:18:12.922,UAVFrameProducer,None,input,162,-1,-1,0.0,3.36,921.74,0.0,13.88,129.46,31290
2023/06/26 02:18:12.980,UAVFrameProducer,None,input,163,-1,-1,0.0,12.71,921.74,0.0,13.92,122.53,31292
2023/06/26 02:18:13.041,UAVFrameProducer,None,input,164,-1,-1,0.0,3.21,921.74,0.0,13.96,148.87,31296
2023/06/26 02:18:13.094,UAVFrameProducer,None,input,165,-1,-1,0.0,6.19,921.74,0.0,13.95,153.14,31298
2023/06/26 02:18:13.153,UAVFrameProducer,None,input,166,-1,-1,0.0,12.19,921.74,0.0,13.91,141.62,31301
2023/06/26 02:18:13.194,UAVFrameProducer,None,input,167,-1,-1,0.0,6.14,921.74,0.0,13.91,131.79,31303
2023/06/26 02:18:13.260,UAVFrameProducer,None,input,168,-1,-1,0.0,9.98,921.74,0.0,13.93,151.91,31305
2023/06/26 02:18:13.311,UAVFrameProducer,None,input,169,-1,-1,0.0,11.55,921.74,0.0,13.97,137.56,31308
2023/06/26 02:18:13.378,UAVFrameProducer,None,input,170,-1,-1,0.43,2.42,921.74,0.0,13.95,135.99,31309
2023/06/26 02:18:13.447,UAVFrameProducer,None,input,171,-1,-1,0.0,2.54,921.74,0.0,13.96,177.37,31313
2023/06/26 02:18:13.508,UAVFrameProducer,None,input,172,-1,-1,0.0,9.38,921.74,0.0,11.53,179.61,31315
2023/06/26 02:18:13.604,UAVFrameProducer,None,input,173,-1,-1,0.0,6.3,921.74,0.0,13.0,204.25,31318
2023/06/26 02:18:13.676,UAVFrameProducer,None,input,174,-1,-1,0.0,7.13,921.74,0.0,13.42,209.86,31322
2023/06/26 02:18:13.744,UAVFrameProducer,None,input,175,-1,-1,0.0,7.34,921.74,0.0,13.7,208.4,31325
2023/06/26 02:18:13.805,UAVFrameProducer,None,input,176,-1,-1,0.0,4.86,921.74,0.0,13.73,176.61,31328
2023/06/26 02:18:13.860,UAVFrameProducer,None,input,177,-1,-1,0.0,6.64,921.74,0.0,13.78,163.99,31332
2023/06/26 02:18:13.919,UAVFrameProducer,None,input,178,-1,-1,0.0,4.6,921.74,0.0,13.87,157.79,31334
2023/06/26 02:18:13.969,UAVFrameProducer,None,input,179,-1,-1,0.0,13.05,921.74,0.0,13.93,129.78,31337
2023/06/26 02:18:14.031,UAVFrameProducer,None,input,180,-1,-1,0.0,3.31,921.74,0.0,13.92,128.33,31340
2023/06/26 02:18:14.106,UAVFrameProducer,None,input,181,-1,-1,0.0,8.56,921.74,0.0,13.9,165.22,31343
2023/06/26 02:18:14.157,UAVFrameProducer,None,input,182,-1,-1,0.0,3.69,921.74,0.0,13.89,163.29,31345
2023/06/26 02:18:14.213,UAVFrameProducer,None,input,183,-1,-1,0.0,11.97,921.74,0.0,13.95,150.24,31347
2023/06/26 02:18:14.256,UAVFrameProducer,None,input,184,-1,-1,0.0,8.72,921.74,0.0,13.96,130.89,31351
2023/06/26 02:18:14.306,UAVFrameProducer,None,input,185,-1,-1,0.0,5.41,921.74,0.0,14.0,133.1,31353
2023/06/26 02:18:14.364,UAVFrameProducer,None,input,186,-1,-1,0.0,12.44,921.74,0.0,14.0,123.51,31355
2023/06/26 02:18:14.415,UAVFrameProducer,None,input,187,-1,-1,0.0,4.74,921.74,0.0,13.98,144.49,31358
2023/06/26 02:18:14.469,UAVFrameProducer,None,input,188,-1,-1,0.0,6.17,921.74,0.0,11.57,144.5,31361
2023/06/26 02:18:14.523,UAVFrameProducer,None,input,189,-1,-1,0.0,11.34,921.74,0.0,12.44,131.82,31363
2023/06/26 02:18:14.569,UAVFrameProducer,None,input,190,-1,-1,0.0,4.0,921.74,0.0,13.25,141.03,31365
2023/06/26 02:18:14.626,UAVFrameProducer,None,input,191,-1,-1,0.0,2.52,921.74,0.0,13.61,121.94,31367
2023/06/26 02:18:14.677,UAVFrameProducer,None,input,192,-1,-1,0.0,3.77,921.74,0.0,13.72,134.35,31371
2023/06/26 02:18:14.720,UAVFrameProducer,None,input,193,-1,-1,0.0,2.2,921.74,0.0,13.71,128.28,31374
2023/06/26 02:18:14.770,UAVFrameProducer,None,input,194,-1,-1,0.0,7.93,921.74,0.0,13.82,126.07,31376
2023/06/26 02:18:14.821,UAVFrameProducer,None,input,195,-1,-1,0.0,10.26,921.74,0.0,13.83,116.94,31378
2023/06/26 02:18:14.892,UAVFrameProducer,None,input,196,-1,-1,0.0,4.31,921.74,0.0,13.89,140.0,31382
2023/06/26 02:18:14.961,UAVFrameProducer,None,input,197,-1,-1,0.0,4.03,921.74,0.0,13.88,155.03,31384
2023/06/26 02:18:15.008,UAVFrameProducer,None,input,198,-1,-1,0.0,10.24,921.74,0.0,13.92,139.22,31387
2023/06/26 02:18:15.080,UAVFrameProducer,None,input,199,-1,-1,0.0,6.44,921.74,0.0,13.97,175.96,31390
2023/06/26 02:18:15.144,UAVFrameProducer,None,input,200,-1,-1,0.0,12.32,921.74,0.0,13.98,152.54,31393
2023/06/26 02:18:15.212,UAVFrameProducer,None,input,201,-1,-1,0.0,2.56,921.74,0.0,13.93,157.4,31396
2023/06/26 02:18:15.283,UAVFrameProducer,None,input,202,-1,-1,0.0,3.34,921.74,0.0,13.92,186.66,31399
2023/06/26 02:18:15.341,UAVFrameProducer,None,input,203,-1,-1,0.0,3.75,921.74,0.0,13.9,185.48,31402
2023/06/26 02:18:15.389,UAVFrameProducer,None,input,204,-1,-1,0.0,11.36,921.74,0.0,13.94,149.59,31404
2023/06/26 02:18:15.444,UAVFrameProducer,None,input,205,-1,-1,0.0,13.86,921.74,0.0,13.95,120.03,31407
2023/06/26 02:18:15.476,UAVFrameProducer,None,input,206,-1,-1,0.0,4.73,921.74,0.0,12.59,119.44,31410
2023/06/26 02:18:15.535,UAVFrameProducer,None,input,207,-1,-1,0.0,17.03,921.74,0.0,13.03,128.21,31413
2023/06/26 02:18:15.605,UAVFrameProducer,None,input,208,-1,-1,0.0,8.69,921.74,0.0,13.4,136.13,31416
2023/06/26 02:18:15.662,UAVFrameProducer,None,input,209,-1,-1,0.0,8.48,921.74,0.0,13.6,148.76,31419
2023/06/26 02:18:15.702,UAVFrameProducer,None,input,210,-1,-1,0.0,7.76,921.74,0.0,13.68,132.5,31421
2023/06/26 02:18:15.756,UAVFrameProducer,None,input,211,-1,-1,0.0,4.51,921.74,0.0,13.78,133.36,31424
2023/06/26 02:18:15.814,UAVFrameProducer,None,input,212,-1,-1,0.0,9.59,921.74,0.0,13.81,130.04,31427
2023/06/26 02:18:15.877,UAVFrameProducer,None,input,213,-1,-1,0.0,2.65,921.74,0.0,13.81,137.16,31430
2023/06/26 02:18:15.914,UAVFrameProducer,None,input,214,-1,-1,0.0,3.64,921.74,0.0,13.88,143.8,31433
2023/06/26 02:18:15.971,UAVFrameProducer,None,input,215,-1,-1,0.0,5.36,921.74,0.0,13.9,145.06,31436
2023/06/26 02:18:16.022,UAVFrameProducer,None,input,216,-1,-1,0.0,11.12,921.74,0.0,13.93,118.88,31438
2023/06/26 02:18:16.077,UAVFrameProducer,None,input,217,-1,-1,0.0,13.58,921.74,0.0,13.93,121.88,31441
